
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/WideResNet28x10/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model WideResNet28x10
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 28, 'widen_factor': 10}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  25    0.0500     1.0747   71.4129     2.2530   53.7080      2198.7439        0.5556
  26    0.0500     1.0533   71.8062     2.2742   53.5500      2198.9471        0.5556
  27    0.0500     1.0318   72.3240     2.2607   53.3120      2198.9662        0.5556
  28    0.0500     1.0102   72.7458     2.2908   53.0720      2198.6244        0.5556
  29    0.0500     0.9911   73.1647     2.3935   52.7400      2198.3761        0.5556
  30    0.0500     0.9767   73.4521     2.3023   53.4640      2197.9081        0.5556
  31    0.0500     0.9581   73.8182     2.3906   52.8000      2198.6538        0.5556
  32    0.0500     0.9399   74.2351     2.3542   53.5640      2199.3109        0.5556
  33    0.0500     0.9245   74.5972     2.4170   52.9080      2200.1399        0.5556
  34    0.0500     0.9089   74.8905     2.4064   52.9840      2199.7377        0.5556
  35    0.0500     0.8944   75.1945     2.4258   53.1340      2198.8484        0.5556
  36    0.0500     0.8808   75.4775     2.4076   53.3560      2198.9190        0.5556
  37    0.0500     0.8670   75.8127     2.4238   52.8280      2198.4507        0.5556
  38    0.0500     0.8540   76.1214     2.4758   53.1080      2198.4985        0.5556
  39    0.0500     0.8435   76.3363     2.4832   53.2060      2198.3136        0.5556
  40    0.0500     0.8300   76.6461     2.4656   53.0120      2199.0156        0.5556
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  41    0.0500     0.8209   76.8698     2.4802   52.8300      2198.5087        0.5556
  42    0.0500     0.8098   77.1067     2.5544   51.8940      2198.7368        0.5556
  43    0.0500     0.7978   77.3421     2.6006   52.4400      2198.6018        0.5556
  44    0.0500     0.7896   77.5348     2.5998   52.2080      2199.0418        0.5556
  45    0.0500     0.7798   77.7589     2.5900   52.2140      2198.8499        0.5556
  46    0.0500     0.7699   77.9904     2.6002   52.1760      2198.6997        0.5556
  47    0.0500     0.7642   78.1421     2.5634   52.6620      2198.7293        0.5556
  48    0.0500     0.7531   78.4034     2.6560   51.8660      2198.2538        0.5556
  49    0.0500     0.7454   78.5610     2.6038   52.5700      2198.9324        0.5556
  50    0.0500     0.7394   78.7018     2.5781   52.6960      2198.7700        0.5556
  51    0.0500     0.7312   78.9102     2.5975   52.6280      2198.4730        0.5556
  52    0.0500     0.7243   79.0842     2.6857   52.0300      2198.3199        0.5556
  53    0.0500     0.7165   79.2532     2.6866   51.8980      2198.8748        0.5556
  54    0.0500     0.7120   79.3432     2.6659   52.3200      2198.8504        0.5556
  55    0.0500     0.7029   79.5621     2.6636   52.4080      2200.1847        0.5556
  56    0.0500     0.7001   79.6267     2.6466   51.7060      2198.8866        0.5556
  57    0.0500     0.6930   79.8154     2.7303   51.6480      2199.1152        0.5556
  58    0.0500     0.6874   79.9079     2.7736   51.5320      2199.1151        0.5556
  59    0.0500     0.6825   80.0083     2.7370   51.6100      2199.0510        0.5556
  60    0.0500     0.6777   80.1705     2.7182   52.0120      2200.4052        0.5556
  61    0.0500     0.6720   80.3270     2.7014   52.0480      2199.6245        0.5556
  62    0.0500     0.6665   80.4469     2.7852   51.1400      2198.2215        0.5556
  63    0.0500     0.6629   80.4968     2.7865   51.2940      2204.1075        0.5556
  64    0.0500     0.6581   80.6530     2.7975   51.3460      2199.4725        0.5556
  65    0.0500     0.6559   80.7437     2.7739   52.0580      2202.2718        0.5556
  66    0.0500     0.6506   80.8618     2.7323   51.9440      2198.9349        0.5556
  67    0.0500     0.6448   80.9210     2.7931   50.7920      2199.8371        0.5556
  68    0.0500     0.6428   81.0160     2.7380   52.2820      2201.2092        0.5556
  69    0.0500     0.6396   81.0753     2.7963   51.9460      2199.5977        0.5556
  70    0.0500     0.6349   81.2159     2.8314   51.6360      2199.1890        0.5556
  71    0.0500     0.6311   81.3200     2.8207   51.4700      2200.3907        0.5556
  72    0.0500     0.6286   81.3803     2.8577   50.9700      2199.7204        0.5556
  73    0.0500     0.6239   81.4866     2.8441   51.8560      2199.0543        0.5556
  74    0.0500     0.6208   81.5881     2.8181   51.7580      2199.9156        0.5556
  75    0.0500     0.6181   81.6182     2.8416   51.4780      2199.2940        0.5556
  76    0.0500     0.6154   81.7014     2.8446   51.4840      2200.0795        0.5556
  77    0.0500     0.6123   81.7876     2.8377   51.5420      2199.6909        0.5556
  78    0.0500     0.6092   81.8847     2.9316   50.9240      2199.6341        0.5556
  79    0.0500     0.6078   81.9156     2.9121   51.4640      2199.9013        0.5556
  80    0.0500     0.6046   81.9665     2.8555   51.7880      2199.5312        0.5556
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  81    0.0500     0.6008   82.0863     2.8943   51.4820      2199.6661        0.5556
  82    0.0500     0.6003   82.0624     2.8932   51.3820      2199.0102        0.5556
  83    0.0500     0.5962   82.2029     2.9701   50.7620      2199.3668        0.5556
  84    0.0500     0.5944   82.2124     2.8601   51.3540      2199.3802        0.5556
  85    0.0500     0.5921   82.3184     2.8500   51.7340      2199.5423        0.5556
  86    0.0500     0.5903   82.3136     2.9860   50.2440      2199.8455        0.5556
  87    0.0500     0.5865   82.4714     2.9759   50.5020      2199.2233        0.5556
  88    0.0500     0.5879   82.3732     2.9114   51.2580      2200.1702        0.5556
  89    0.0500     0.5820   82.5687     2.8617   51.7520      2200.4847        0.5556
  90    0.0494     0.5710   82.8709     2.8865   51.6160      2197.5105        0.5556
  91    0.0487     0.5569   83.2431     2.8710   52.0060      2197.8033        0.5556
  92    0.0481     0.5482   83.4630     2.9633   51.5980      2198.0343        0.5556
  93    0.0474     0.5386   83.7732     2.9281   51.6560      2197.6576        0.5556
  94    0.0468     0.5227   84.1546     2.9517   51.5020      2200.6880        0.5556
  95    0.0462     0.5144   84.4468     2.9752   51.6500      2199.2603        0.5556
  96    0.0455     0.5035   84.7176     3.0090   51.6660      2205.3755        0.5556
  97    0.0449     0.4951   84.9643     2.9898   51.6700      2198.7899        0.5556
  98    0.0442     0.4851   85.2404     3.0320   51.4040      2201.8350        0.5556
  99    0.0436     0.4742   85.5241     3.0909   51.4580      2199.4362        0.5556
 100    0.0430     0.4668   85.7100     3.0185   51.8460      2204.1185        0.5556
 101    0.0423     0.4559   86.0444     3.0256   51.6080      2198.7122        0.5556
 102    0.0417     0.4444   86.4093     3.0559   51.5660      2204.0894        0.5556
 103    0.0411     0.4353   86.6369     3.0295   51.8360      2199.7132        0.5556
 104    0.0404     0.4273   86.8630     3.0608   51.6920      2207.6056        0.5556
 105    0.0398     0.4165   87.1877     3.1216   51.4240      2199.8034        0.5556
 106    0.0391     0.4068   87.4699     3.1598   51.2480      2204.9838        0.5556
 107    0.0385     0.3975   87.7335     3.2012   50.9140      2198.8592        0.5556
 108    0.0379     0.3880   87.9820     3.1298   51.5740      2205.9049        0.5556
 109    0.0372     0.3798   88.2434     3.1258   52.0540      2198.6653        0.5556
 110    0.0366     0.3683   88.5998     3.1529   51.8680      2209.1053        0.5556
 111    0.0359     0.3601   88.8711     3.1562   51.9160      2198.4411        0.5556
 112    0.0353     0.3487   89.1661     3.1235   51.6660      2199.0845        0.5556
 113    0.0347     0.3400   89.4523     3.1816   51.6480      2198.8144        0.5556
 114    0.0340     0.3304   89.7355     3.2098   51.6540      2200.1812        0.5556
 115    0.0334     0.3248   89.8916     3.1731   52.3120      2198.5477        0.5556
 116    0.0327     0.3098   90.3566     3.3200   51.9560      2204.9046        0.5556
 117    0.0321     0.3018   90.6157     3.2806   51.9540      2201.4096        0.5556
 118    0.0315     0.2922   90.8907     3.2504   52.1680      2203.6884        0.5556
 119    0.0308     0.2853   91.0788     3.2365   52.4020      2198.7488        0.5556
 120    0.0302     0.2761   91.3898     3.3733   52.1140      2205.7554        0.5556
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 121    0.0295     0.2635   91.7983     3.3715   52.1160      2199.0640        0.5556
 122    0.0289     0.2569   92.0099     3.3187   52.4560      2201.6473        0.5556
 123    0.0283     0.2463   92.3584     3.3182   52.2660      2198.7266        0.5556
 124    0.0276     0.2371   92.6422     3.2875   52.3820      2202.6668        0.5556
 125    0.0270     0.2261   92.9991     3.3477   52.4280      2198.7122        0.5556
 126    0.0263     0.2165   93.2976     3.3809   52.2960      2201.7924        0.5556
 127    0.0257     0.2066   93.6571     3.3844   52.5380      2201.4950        0.5556
 128    0.0251     0.1955   93.9832     3.3687   52.8100      2199.7793        0.5556
 129    0.0244     0.1882   94.2253     3.3594   52.4320      2200.4015        0.5556
 130    0.0238     0.1769   94.6028     3.4201   52.4660      2198.9823        0.5556
 131    0.0232     0.1687   94.8591     3.3821   52.5240      2201.5429        0.5556
 132    0.0225     0.1582   95.2195     3.4185   53.4240      2197.7704        0.5556
 133    0.0219     0.1487   95.5622     3.5546   52.2540      2201.5113        0.5556
 134    0.0212     0.1398   95.8542     3.4040   53.0560      2200.1514        0.5556
 135    0.0206     0.1298   96.1849     3.4161   53.2680      2199.4629        0.5556
 136    0.0200     0.1197   96.5364     3.4565   52.9420      2200.1161        0.5556
 137    0.0193     0.1122   96.7691     3.4211   53.6839      2199.6919        0.5556
 138    0.0187     0.1039   97.0654     3.4093   53.7840      2203.9014        0.5556
 139    0.0180     0.0943   97.3697     3.4107   54.0720      2197.5814        0.5556
 140    0.0174     0.0873   97.5993     3.4331   53.5420      2197.9273        0.5556
 141    0.0168     0.0792   97.8788     3.3884   54.3940      2198.4396        0.5556
 142    0.0161     0.0732   98.0730     3.3524   54.2820      2201.1720        0.5556
 143    0.0155     0.0674   98.2520     3.3487   54.5520      2200.4020        0.5556
 144    0.0148     0.0615   98.4413     3.3585   54.7720      2198.2639        0.5556
 145    0.0142     0.0561   98.5918     3.3013   54.9160      2198.2109        0.5556
 146    0.0136     0.0523   98.7223     3.3099   55.1940      2198.2578        0.5556
 147    0.0129     0.0474   98.8380     3.2599   55.1040      2201.7610        0.5556
 148    0.0123     0.0445   98.9233     3.2538   55.2320      2199.3063        0.5556
 149    0.0116     0.0411   99.0054     3.2748   55.3320      2200.5600        0.5556
 150    0.0110     0.0385   99.0715     3.2410   55.5640      2200.7524        0.5556
 151    0.0104     0.0358   99.1309     3.1951   55.5200      2197.5490        0.5556
 152    0.0097     0.0343   99.1550     3.1809   55.7180      2203.0316        0.5556
 153    0.0091     0.0319   99.2051     3.1885   55.7080      2197.6246        0.5556
 154    0.0085     0.0303   99.2319     3.1378   55.7680      2200.6832        0.5556
 155    0.0078     0.0286   99.2611     3.1443   56.0380      2197.8049        0.5556
 156    0.0072     0.0270   99.2865     3.2035   55.7240      2203.0654        0.5556
 157    0.0065     0.0254   99.3123     3.1450   55.9860      2198.2634        0.5556
 158    0.0059     0.0243   99.3249     3.1092   56.2520      2202.9792        0.5556
 159    0.0053     0.0232   99.3382     3.0632   56.2860      2197.4691        0.5556
 160    0.0050     0.0225   99.3514     3.0908   56.2200      2201.6549        0.5556
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 161    0.0050     0.0221   99.3574     3.1066   56.3920      2198.3880        0.5556
 162    0.0050     0.0219   99.3559     3.0698   56.0700      2202.8788        0.5556
 163    0.0050     0.0217   99.3595     3.0492   56.2660      2198.0427        0.5556
 164    0.0050     0.0215   99.3653     3.0988   56.1000      2199.8860        0.5556
 165    0.0050     0.0215   99.3625     3.0643   56.1320      2199.0783        0.5556
 166    0.0050     0.0214   99.3657     3.1223   56.3520      2202.8701        0.5556
 167    0.0050     0.0215   99.3513     3.1116   56.0640      2197.9500        0.5556
 168    0.0050     0.0215   99.3651     3.0105   56.3160      2202.9879        0.5556
 169    0.0050     0.0213   99.3735     3.0773   56.0340      2199.7898        0.5556
 170    0.0050     0.0214   99.3600     3.0304   56.4460      2203.9504        0.5556
 171    0.0050     0.0212   99.3643     3.0580   56.3280      2200.7722        0.5556
 172    0.0050     0.0214   99.3629     2.9813   56.1760      2200.3769        0.5556
 173    0.0050     0.0213   99.3618     3.0577   56.0800      2202.7602        0.5556
 174    0.0050     0.0212   99.3691     3.0132   56.2640      2198.1556        0.5556
 175    0.0050     0.0212   99.3643     2.9940   56.1640      2198.6865        0.5556
 176    0.0050     0.0213   99.3617     3.0197   56.1140         3.0228       99.4898       55.8680  2197.2811       0.5556
 177    0.0050     0.0214   99.3657     2.9801   56.2340         3.0149       99.4953       56.4620  2202.3918       0.6941
 178    0.0050     0.0217   99.3660     2.9498   56.0980         2.9701       99.5026       56.3980  2197.8970       0.6941
 179    0.0050     0.0218   99.3643     2.9562   56.2980         2.9569       99.5112       56.6500  2197.0851       0.6941
 180    0.0050     0.0222   99.3614     2.9946   56.3039         2.9918       99.5077       56.2100  2202.5077       0.6941
 181    0.0050     0.0223   99.3671     2.9058   56.1920         2.9691       99.5094       56.5800  2200.7990       0.6941
Traceback (most recent call last):
  File "../run_swag.py", line 158, in <module>
    test_accuracy=test_res['accuracy'],
  File "<__array_function__ internals>", line 6, in savez
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/site-packages/numpy/lib/npyio.py", line 632, in savez
    _savez(file, args, kwds, False)
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/site-packages/numpy/lib/npyio.py", line 730, in _savez
    zipf = zipfile_factory(file, mode="w", compression=compression)
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/site-packages/numpy/lib/npyio.py", line 119, in zipfile_factory
    return zipfile.ZipFile(file, *args, **kwargs)
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/zipfile.py", line 1182, in __init__
    self.fp = io.open(file, filemode)
OSError: [Errno 27] File too large: '/jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/WideResNet28x10/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/stats-181.npz'
