
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model PreResNet110
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 110}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  25    0.0500     2.2896   48.0717     2.7772   40.9300      1078.5945        0.0214
  26    0.0500     2.2789   48.3059     2.6579   42.3260      1077.1061        0.0214
  27    0.0500     2.2685   48.4512     2.6369   43.0320      1076.8926        0.0214
  28    0.0500     2.2588   48.6195     2.6481   42.8180      1077.9865        0.0214
  29    0.0500     2.2513   48.7828     2.6261   43.1320      1077.5508        0.0214
  30    0.0500     2.2410   48.9560     2.5828   43.8320      1075.5618        0.0214
  31    0.0500     2.2323   49.1079     2.6025   43.4780      1076.8057        0.0214
  32    0.0500     2.2259   49.2262     2.5899   43.8640      1075.1364        0.0214
  33    0.0500     2.2179   49.3793     2.6021   43.3580      1078.3012        0.0214
  34    0.0500     2.2113   49.4902     2.5950   43.4300      1077.2376        0.0214
  35    0.0500     2.2050   49.6015     2.5770   43.5740      1096.7277        0.0214
  36    0.0500     2.1992   49.7376     2.5497   44.2560      1077.2797        0.0214
  37    0.0500     2.1930   49.7745     2.6001   43.5000      1076.4379        0.0214
  38    0.0500     2.1872   49.9061     2.5965   43.5360      1077.6969        0.0214
  39    0.0500     2.1828   50.0114     2.6572   42.9880      1098.3888        0.0214
  40    0.0500     2.1753   50.1437     2.5707   43.9160      1097.9308        0.0214
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  41    0.0500     2.1707   50.1904     2.5579   44.2740      1075.2806        0.0214
  42    0.0500     2.1672   50.3010     2.5828   43.6740      1075.3239        0.0214
  43    0.0500     2.1607   50.3855     2.5635   44.0300      1075.4845        0.0214
  44    0.0500     2.1575   50.4458     2.5505   44.3460      1076.5170        0.0214
  45    0.0500     2.1537   50.5366     2.5125   44.8540      1076.1938        0.0214
  46    0.0500     2.1478   50.6349     2.5371   44.2020      1097.8429        0.0214
  47    0.0500     2.1453   50.6957     2.5423   44.5980      1096.2684        0.0214
  48    0.0500     2.1414   50.7430     2.5796   44.2920      1075.9327        0.0214
  49    0.0500     2.1354   50.8062     2.5671   44.1040      1075.6611        0.0214
  50    0.0500     2.1336   50.8845     2.5367   44.6860      1076.3484        0.0214
  51    0.0500     2.1300   50.9686     2.5280   44.8640      1077.9701        0.0214
  52    0.0500     2.1265   51.0093     2.5026   45.2500      1076.8077        0.0214
  53    0.0500     2.1234   51.0495     2.5381   44.4460      1077.7007        0.0214
  54    0.0500     2.1207   51.0898     2.5140   45.0320      1077.3803        0.0214
  55    0.0500     2.1170   51.1618     2.5346   44.4820      1098.5152        0.0214
  56    0.0500     2.1145   51.2459     2.5279   44.5560      1099.0448        0.0214
  57    0.0500     2.1122   51.2068     2.5020   45.2120      1097.9729        0.0214
  58    0.0500     2.1085   51.2835     2.5222   44.8480      1099.5830        0.0214
  59    0.0500     2.1062   51.3673     2.5096   45.2540      1075.3155        0.0214
  60    0.0500     2.1030   51.4375     2.5600   44.2580      1077.6334        0.0214
  61    0.0500     2.0997   51.4642     2.5053   45.2860      1099.7504        0.0214
  62    0.0500     2.0973   51.5322     2.5001   45.0880      1093.4829        0.0214
  63    0.0500     2.0945   51.5673     2.5313   44.4760      1097.5529        0.0214
  64    0.0500     2.0925   51.6415     2.5436   44.7300      1081.5403        0.0214
  65    0.0500     2.0903   51.6883     2.4692   45.5740      1097.2473        0.0214
  66    0.0500     2.0889   51.6763     2.5153   45.0620      1093.6740        0.0214
  67    0.0500     2.0862   51.7361     2.5195   44.9540      1080.1504        0.0214
  68    0.0500     2.0840   51.7864     2.4580   45.8360      1077.0957        0.0214
  69    0.0500     2.0819   51.7809     2.4858   45.7580      1078.2727        0.0214
  70    0.0500     2.0797   51.8207     2.4899   45.6400      1075.5215        0.0214
  71    0.0500     2.0785   51.8656     2.5052   45.0800      1076.5365        0.0214
  72    0.0500     2.0744   51.9048     2.5331   45.2560      1075.4570        0.0214
  73    0.0500     2.0739   51.9612     2.5162   44.9340      1101.3586        0.0214
  74    0.0500     2.0720   51.9696     2.5085   45.0700      1095.0983        0.0214
  75    0.0500     2.0705   52.0122     2.4918   45.1780      1075.4452        0.0214
  76    0.0500     2.0680   52.0420     2.5184   44.9000      1075.6654        0.0214
  77    0.0500     2.0661   52.0927     2.5346   44.8040      1074.4968        0.0214
  78    0.0500     2.0646   52.1010     2.4852   45.5300      1075.6363        0.0214
  79    0.0500     2.0631   52.1293     2.4777   45.5960      1066.9130        0.0214
  80    0.0500     2.0605   52.2013     2.4984   45.2140      1055.6056        0.0214
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
  81    0.0500     2.0586   52.2592     2.4768   45.7700      1056.3452        0.0214
  82    0.0500     2.0566   52.2332     2.5131   45.3880      1056.8801        0.0214
  83    0.0500     2.0557   52.2949     2.5576   44.5300      1072.3455        0.0214
  84    0.0500     2.0552   52.2884     2.5325   44.8500      1071.2043        0.0214
  85    0.0500     2.0528   52.3128     2.5279   44.9340      1078.1092        0.0214
  86    0.0500     2.0509   52.3914     2.4764   45.6920      1103.6092        0.0214
  87    0.0500     2.0485   52.3944     2.4675   45.5640      1103.5024        0.0214
  88    0.0500     2.0481   52.4281     2.4751   45.9300      1100.6329        0.0214
  89    0.0500     2.0464   52.4360     2.4745   45.7820      1100.4149        0.0214
  90    0.0494     2.0405   52.5551     2.5381   45.1220      1102.1972        0.0214
  91    0.0487     2.0336   52.7001     2.4714   45.9560      1101.9321        0.0214
  92    0.0481     2.0292   52.7681     2.4277   46.5920      1101.4612        0.0214
  93    0.0474     2.0219   52.9170     2.4147   46.9640      1102.5449        0.0214
  94    0.0468     2.0159   53.0449     2.4185   46.5500      1104.5641        0.0214
  95    0.0462     2.0105   53.1204     2.4506   46.5480      1103.9350        0.0214
  96    0.0455     2.0049   53.2302     2.4436   46.3720      1100.9749        0.0214
  97    0.0449     2.0003   53.3242     2.4339   46.3440      1102.5096        0.0214
  98    0.0442     1.9938   53.4114     2.4149   47.0320      1102.6214        0.0214
  99    0.0436     1.9890   53.5498     2.4398   46.2280      1101.4426        0.0214
 100    0.0430     1.9832   53.6509     2.4350   46.6160      1104.0329        0.0214
 101    0.0423     1.9776   53.7615     2.4092   47.2420      1100.9664        0.0214
 102    0.0417     1.9713   53.9000     2.4078   47.2700      1103.0969        0.0214
 103    0.0411     1.9671   53.9884     2.3930   47.1760      1104.2379        0.0214
 104    0.0404     1.9616   54.0386     2.3925   47.4980      1101.7535        0.0214
 105    0.0398     1.9545   54.2441     2.4224   46.9380      1101.4264        0.0214
 106    0.0391     1.9494   54.3331     2.4196   46.5620      1102.0033        0.0214
 107    0.0385     1.9436   54.3890     2.4105   47.0300      1099.8856        0.0214
 108    0.0379     1.9398   54.5177     2.4248   46.9600      1102.1326        0.0214
 109    0.0372     1.9320   54.6667     2.3703   47.8340      1104.2012        0.0214
 110    0.0366     1.9267   54.6833     2.3576   47.9900      1103.8009        0.0214
 111    0.0359     1.9211   54.8135     2.4308   46.8380      1100.2443        0.0214
 112    0.0353     1.9153   54.9696     2.4167   47.3140      1102.0272        0.0214
 113    0.0347     1.9094   55.0769     2.3830   47.7040      1101.7791        0.0214
 114    0.0340     1.9025   55.1896     2.3521   48.1980      1102.1928        0.0214
 115    0.0334     1.8978   55.2760     2.3640   47.7380      1104.1472        0.0214
 116    0.0327     1.8905   55.4158     2.3841   47.7680      1105.5140        0.0214
 117    0.0321     1.8864   55.5174     2.4288   46.9900      1105.6055        0.0214
 118    0.0315     1.8784   55.6431     2.3738   48.1480      1102.7784        0.0214
 119    0.0308     1.8730   55.7831     2.3314   48.6900      1102.6323        0.0214
 120    0.0302     1.8676   55.8920     2.3788   47.9420      1100.4086        0.0214
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 121    0.0295     1.8604   56.0470     2.3353   48.6120      1102.7836        0.0214
 122    0.0289     1.8541   56.1344     2.3594   48.4500      1101.3684        0.0214
 123    0.0283     1.8479   56.2683     2.3247   48.8000      1103.2275        0.0214
 124    0.0276     1.8412   56.3804     2.3412   48.7300      1103.5359        0.0214
 125    0.0270     1.8340   56.5136     2.3304   48.6080      1101.4251        0.0214
 126    0.0263     1.8267   56.7234     2.3353   48.5620      1100.4428        0.0214
 127    0.0257     1.8188   56.7985     2.3083   48.9380      1098.6757        0.0214
 128    0.0251     1.8118   56.9546     2.3332   48.5540      1100.8556        0.0214
 129    0.0244     1.8060   57.0908     2.3256   48.8000      1099.7125        0.0214
 130    0.0238     1.7977   57.2509     2.3191   49.1220      1103.0045        0.0214
 131    0.0232     1.7905   57.3711     2.3223   49.1420      1104.1975        0.0214
 132    0.0225     1.7831   57.5189     2.2917   49.5100      1101.7247        0.0214
 133    0.0219     1.7763   57.6543     2.3071   49.3500      1101.5835        0.0214
 134    0.0212     1.7672   57.8424     2.3157   49.0820      1100.6202        0.0214
 135    0.0206     1.7599   57.9909     2.2936   49.5860      1102.3358        0.0214
 136    0.0200     1.7527   58.0964     2.2788   49.8220      1107.4287        0.0214
 137    0.0193     1.7429   58.3441     2.2823   49.7360      1115.9226        0.0214
 138    0.0187     1.7351   58.4851     2.3008   49.4100      1114.1835        0.0214
 139    0.0180     1.7274   58.6261     2.2905   49.5460      1115.3702        0.0214
 140    0.0174     1.7185   58.8067     2.2853   49.6920      1113.0223        0.0214
 141    0.0168     1.7097   58.9801     2.2799   49.9780      1114.4249        0.0214
 142    0.0161     1.6987   59.1784     2.2293   50.3520      1114.7498        0.0214
 143    0.0155     1.6907   59.3767     2.2499   50.4520      1111.7887        0.0214
 144    0.0148     1.6815   59.5713     2.2483   50.7060      1112.3035        0.0214
 145    0.0142     1.6699   59.7796     2.2428   50.7460      1113.1841        0.0214
 146    0.0136     1.6633   59.9083     2.2540   50.4740      1112.1628        0.0214
 147    0.0129     1.6510   60.1741     2.2339   50.9280      1124.1012        0.0214
 148    0.0123     1.6413   60.3739     2.2420   50.7780      1128.3427        0.0214
 149    0.0116     1.6293   60.6455     2.2431   50.9780      1127.9590        0.0214
 150    0.0110     1.6176   60.8895     2.2304   51.0820      1124.6377        0.0214
 151    0.0104     1.6062   61.0600     2.2052   51.3860      1127.1219        0.0214
 152    0.0097     1.5945   61.3574     2.2233   51.3880      1123.2150        0.0214
 153    0.0091     1.5814   61.6312     2.2035   51.6920      1127.3722        0.0214
 154    0.0085     1.5697   61.8368     2.1930   51.7080      1126.4194        0.0214
 155    0.0078     1.5568   62.1154     2.1941   51.7800      1124.6582        0.0214
 156    0.0072     1.5432   62.4210     2.1896   51.9460      1125.7617        0.0214
 157    0.0065     1.5293   62.7134     2.1751   52.0820      1123.6482        0.0214
 158    0.0059     1.5158   63.0261     2.1851   52.1140      1124.5994        0.0214
 159    0.0053     1.5013   63.3255     2.1769   52.1080      1124.9859        0.0214
 160    0.0050     1.4937   63.4462     2.1722   52.4800      1126.8187        0.0214
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
 161    0.0050     1.4915   63.5106     2.1777   52.2100      1125.0358        0.0214
 162    0.0050     1.4911   63.4762     2.1805   52.0900      1105.2069        0.0214
 163    0.0050     1.4890   63.5200     2.1754   52.3320      1105.3027        0.0214
 164    0.0050     1.4890   63.5407     2.1835   52.1120      1103.1613        0.0214
 165    0.0050     1.4876   63.5379     2.1990   51.9060      1105.3820        0.0214
 166    0.0050     1.4866   63.5544     2.1928   52.0820      1104.9618        0.0214
 167    0.0050     1.4879   63.5015     2.1902   52.3260      1105.8832        0.0214
 168    0.0050     1.4860   63.5902     2.2024   51.9660      1103.1477        0.0214
 169    0.0050     1.4864   63.5282     2.1919   52.0960      1101.8114        0.0214
 170    0.0050     1.4854   63.5079     2.2014   51.9980      1113.8778        0.0214
 171    0.0050     1.4859   63.5207     2.1889   52.2020      1112.4666        0.0214
 172    0.0050     1.4841   63.5806     2.2055   51.8300      1113.3337        0.0214
 173    0.0050     1.4849   63.5563     2.2091   51.7200      1114.6567        0.0214
 174    0.0050     1.4846   63.5507     2.1976   51.9600      1114.2572        0.0214
 175    0.0050     1.4841   63.5669     2.2011   51.8620      1113.2132        0.0214
 176    0.0050     1.4837   63.6217     2.2002   51.9460         2.1968       64.3676       51.9000  1113.0139       0.0214
 177    0.0050     1.4841   63.5805     2.2274   51.6760         2.1602       65.3752       52.8180  1109.6290       0.0267
 178    0.0050     1.4842   63.5171     2.2062   51.7560         2.1455       65.8001       53.0060  1108.8099       0.0267
 179    0.0050     1.4858   63.5287     2.2142   51.6280         2.1391       65.9860       53.0040  1104.1166       0.0267
 180    0.0050     1.4862   63.5220     2.2079   51.8580         2.1329       66.1071       53.2200  1107.5955       0.0267
 181    0.0050     1.4865   63.5002     2.1990   51.8860         2.1262       66.2736       53.2200  1106.2236       0.0267
 182    0.0050     1.4879   63.5030     2.1963   51.9740         2.1305       66.3138       53.1240  1110.0920       0.0267
 183    0.0050     1.4881   63.4714     2.1993   51.9280         2.1227       66.4234       53.3040  1105.3052       0.0267
 184    0.0050     1.4890   63.4004     2.2026   51.9680         2.1231       66.4092       53.4380  1106.1660       0.0267
 185    0.0050     1.4917   63.3430     2.1931   51.9660         2.1198       66.4031       53.3840  1111.3852       0.0267
 186    0.0050     1.4908   63.3789     2.2089   51.5760         2.1237       66.4728       53.4060  1105.2872       0.0267
 187    0.0050     1.4924   63.3611     2.2092   51.8600         2.1158       66.5522       53.4600  1109.5856       0.0267
 188    0.0050     1.4941   63.3037     2.2141   51.7040         2.1161       66.5818       53.3960  1105.2359       0.0267
 189    0.0050     1.4961   63.2553     2.1966   51.6200         2.1150       66.5425       53.4200  1104.9311       0.0267
 190    0.0050     1.4951   63.2686     2.2101   51.7500         2.1204       66.6047       53.4340  1104.0225       0.0267
 191    0.0050     1.4973   63.2308     2.2097   51.7020         2.1128       66.6234       53.5160  1106.3544       0.0267
 192    0.0050     1.4978   63.2203     2.2059   51.5740         2.1130       66.6153       53.3840  1109.1119       0.0267
 193    0.0050     1.4990   63.1568     2.2090   51.6820         2.1126       66.6705       53.5260  1108.7831       0.0267
 194    0.0050     1.5008   63.1401     2.2015   51.8340         2.1128       66.6444       53.4920  1109.3974       0.0267
 195    0.0050     1.5018   63.1312     2.1997   51.7720         2.1139       66.6564       53.4820  1109.3221       0.0267
 196    0.0050     1.5019   63.0926     2.2106   51.4200         2.1141       66.6264       53.5080  1109.7414       0.0267
 197    0.0050     1.5050   63.0068     2.2183   51.6040         2.1135       66.6829       53.5420  1105.4842       0.0267
 198    0.0050     1.5055   63.0409     2.2051   51.5040         2.1152       66.6289       53.5220  1106.0966       0.0267
 199    0.0050     1.5060   63.0483     2.2283   51.2580         2.1158       66.7084       53.4760  1106.0198       0.0267
 200    0.0050     1.5071   62.9764     2.2135   51.6120         2.1103       66.7068       53.4540  1106.8450       0.0267
----  --------  ---------  --------  ---------  --------  -------------  ------------  ------------  ---------  -----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc    swa_te_acc       time    mem_usage
----  --------  ---------  --------  ---------  --------  -------------  ------------  ------------  ---------  -----------
 201    0.0050     1.5087   62.9447     2.2203   51.2820         2.1117       66.7595       53.5860  1103.1071       0.0267
 202    0.0050     1.5101   62.9215     2.2132   51.4460         2.1075       66.6787       53.6460  1103.8236       0.0267
 203    0.0050     1.5116   62.9231     2.2354   51.3140         2.1093       66.7917       53.5400  1107.7941       0.0267
 204    0.0050     1.5108   62.8930     2.2240   51.4460         2.1070       66.7854       53.6220  1108.7156       0.0267
 205    0.0050     1.5130   62.8859     2.2222   51.4120         2.1062       66.7852       53.6000  1107.9631       0.0267
 206    0.0050     1.5136   62.8282     2.2298   51.1800         2.1046       66.7833       53.5400  1103.7222       0.0267
 207    0.0050     1.5163   62.8304     2.2266   51.3700         2.1103       66.7890       53.5680  1110.2954       0.0267
 208    0.0050     1.5162   62.7846     2.2169   51.3620         2.1109       66.7812       53.6120  1107.8128       0.0267
 209    0.0050     1.5168   62.7517     2.2412   51.2880         2.1050       66.7822       53.5520  1107.6070       0.0267
 210    0.0050     1.5185   62.7259     2.2145   51.3360         2.1057       66.8070       53.5780  1108.7856       0.0267
 211    0.0050     1.5184   62.7327     2.2182   51.3400         2.1074       66.8535       53.6740  1104.3158       0.0267
 212    0.0050     1.5211   62.7035     2.2109   51.5880         2.1087       66.7912       53.6080  1106.1519       0.0267
 213    0.0050     1.5214   62.6462     2.2277   51.3960         2.1160       66.8423       53.5260  1104.1658       0.0267
 214    0.0050     1.5227   62.6616     2.2316   51.2700         2.1063       66.8228       53.6020  1107.1736       0.0267
 215    0.0050     1.5236   62.5859     2.2215   51.2660         2.1068       66.7480       53.5560  1102.9384       0.0267
 216    0.0050     1.5252   62.5890     2.2262   51.1700         2.1025       66.8505       53.6920  1105.3955       0.0267
 217    0.0050     1.5251   62.5808     2.2165   51.5900         2.1029       66.7829       53.5940  1107.5961       0.0267
 218    0.0050     1.5266   62.5124     2.2144   51.3820         2.1036       66.8687       53.6600  1105.8460       0.0267
 219    0.0050     1.5267   62.5586     2.2284   51.3380         2.0980       66.8526       53.7060  1101.7466       0.0267
 220    0.0050     1.5288   62.4737     2.2315   51.2860         2.0993       66.8637       53.6560  1105.5370       0.0267
 221    0.0050     1.5293   62.5089     2.2334   51.2520         2.0990       66.8741       53.6780  1107.9873       0.0267
 222    0.0050     1.5303   62.4688     2.2236   51.3320         2.1019       66.8683       53.6860  1106.1966       0.0267
 223    0.0050     1.5311   62.4568     2.2277   51.3900         2.1014       66.8178       53.5360  1107.7868       0.0267
 224    0.0050     1.5333   62.3603     2.2326   51.2960         2.1022       66.8358       53.7100  1105.3446       0.0267
 225    0.0050     1.5344   62.3738     2.2246   51.3220         2.1084       66.8671       53.5920  1106.5108       0.0267
Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.1_wd=8e-06_swastart=176.0_swalr=0.025/
Using model PreResNet110
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 110}
SWAG training
Resume training from /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-6_swastart=176_swalr=0.005/checkpoint-00175.pt
Traceback (most recent call last):
  File "../run_swag.py", line 117, in <module>
    checkpoint = torch.load(args.resume)
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/site-packages/torch/serialization.py", line 419, in load
    f = open(f, 'rb')
FileNotFoundError: [Errno 2] No such file or directory: '/jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-6_swastart=176_swalr=0.005/checkpoint-00175.pt'
Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.1_wd=0.0_swastart=176.0_swalr=0.005/
Using model PreResNet110
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 110}
SWAG training
Resume training from /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-6_swastart=176_swalr=0.005/checkpoint-00175.pt
Traceback (most recent call last):
  File "../run_swag.py", line 117, in <module>
    checkpoint = torch.load(args.resume)
  File "/jmain01/home/JAD017/sjr02/dxg49-sjr02/.conda/envs/diegorubin/lib/python3.7/site-packages/torch/serialization.py", line 419, in load
    f = open(f, 'rb')
FileNotFoundError: [Errno 2] No such file or directory: '/jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-6_swastart=176_swalr=0.005/checkpoint-00175.pt'
